depth;min95%;max95%;best;accrate
89.5;4394;4543;4471;40.38
90;4413;4565;4491;40.38
90.5;4432;4586;4511;40.38
91;4452;4607;4532;40.38
91.5;4471;4628;4552;40.38
92;4491;4649;4572;40.38
92.5;4510;4670;4592;40.38
93;4530;4691;4612;40.38
93.5;4549;4713;4632;40.38
94;4568;4734;4653;40.38
94.5;4587;4755;4673;40.38
95;4607;4776;4693;40.38
95.5;4626;4797;4713;40.38
96;4646;4818;4733;40.38
96.5;4665;4839;4754;40.38
97;4684;4860;4774;40.38
97.5;4704;4881;4794;40.38
98;4723;4902;4814;40.38
98.5;4743;4923;4834;40.38
99;4762;4945;4855;40.38
99.5;4782;4966;4875;40.38
100;4801;4987;4895;40.38
100.5;4821;5008;4915;40.38
101;4840;5029;4935;40.38
101.5;4860;5050;4955;40.38
102;4879;5071;4976;40.38
102.5;4899;5092;4996;40.38
103;4918;5113;5016;40.38
103.5;4937;5134;5036;40.38
104;4957;5155;5056;40.38
104.5;4976;5177;5077;40.38
105;4995;5198;5097;40.38
105.5;5014;5219;5117;40.38
106;5034;5240;5137;40.38
106.5;5053;5261;5157;40.38
107;5072;5282;5178;40.38
107.5;5092;5303;5198;40.38
108;5111;5324;5218;40.38
108.5;5130;5345;5238;40.38
109;5150;5366;5258;40.38
109.5;5169;5387;5278;40.38
110;5188;5408;5299;40.38
110.5;5208;5429;5319;40.38
111;5227;5450;5339;40.38
111.5;5246;5471;5359;40.38
112;5266;5492;5379;40.38
112.5;5285;5513;5400;40.38
113;5304;5534;5420;40.38
113.5;5324;5555;5440;40.38
114;5343;5576;5460;40.38
114.5;5362;5597;5480;40.38
115;5382;5618;5501;40.38
115.5;5401;5639;5521;40.38
116;5420;5660;5541;NA
